Bệnh viện tuyến huyện tăng cường tiêm vắc-xin phòng cúm mùa,Tiêm vắc-xin cúm mùa: bệnh viện huyện khuyến cáo người dân đi tiêm
Chuyên gia hướng dẫn chế độ ăn cho người tiểu đường type 2,5 nguyên tắc dinh dưỡng cho người mắc tiểu đường type 2
Phòng khám mắt cộng đồng tổ chức khám tầm soát đục thủy tinh thể miễn phí,Khám đục thủy tinh thể miễn phí tại trạm y tế: người dân hưởng lợi
Tăng cường vận động giúp giảm nguy cơ bệnh tim mạch ở người trung niên,Người trung niên cần tập gì để phòng bệnh tim mạch? Chuyên gia giải đáp
Sở Y tế cảnh báo tình trạng lạm dụng kháng sinh tại nhà,Lạm dụng kháng sinh: chuyên gia khuyến cáo người dân thận trọng
Bệnh nhân tăng huyết áp nên theo dõi chỉ số thường xuyên tại nhà,Huyết áp cao: cách theo dõi và ghi lại số liệu hiệu quả
Chương trình tư vấn sức khỏe tinh thần miễn phí cho học sinh,Tư vấn tâm lý miễn phí: hỗ trợ sức khỏe tinh thần cho học sinh
Hướng dẫn xử trí sốt cao ở trẻ em tại nhà trước khi đến cơ sở y tế,Sốt ở trẻ: những việc phụ huynh cần làm ngay và khi nào cần đưa đi bác sĩ
Bác sĩ chia sẻ bí quyết phòng ngừa viêm phổi ở người cao tuổi,Viêm phổi ở người cao tuổi: mẹo phòng tránh từ chuyên gia y tế
Hướng dẫn tập thở giảm căng thẳng cho dân văn phòng,Kỹ thuật thở đơn giản giúp dân văn phòng giảm stress ngay tại chỗ
Bệnh viện triển khai chương trình sàng lọc ung thư vú sớm,Sàng lọc ung thư vú: campaigne khám miễn phí thu hút nhiều phụ nữ
Chuyên đề dinh dưỡng: ăn nhiều rau củ giúp phòng bệnh mạn tính,Dinh dưỡng phòng bệnh: vì sao rau củ quan trọng trong bữa ăn hàng ngày
Người dân được khuyên bổ sung vitamin D trong mùa ít nắng,Vitamin D và sức khỏe: khi nào cần bổ sung theo khuyến nghị bác sĩ
Hướng dẫn sơ cứu cầm máu tại chỗ cho người dân khi gặp tai nạn nhỏ,Sơ cứu cơ bản: cách cầm máu nhanh tại hiện trường trước khi cấp cứu
Khoa nhi lưu ý về nguy cơ ngộ độc thuốc ở trẻ nhỏ,Ngộ độc thuốc ở trẻ: dấu hiệu và cách sơ cứu ban đầu cha mẹ cần biết
Chương trình hiến máu nhân đạo thu hút nhiều tình nguyện viên,Hiến máu cứu người: chiến dịch hiến máu cuối tuần ghi nhận số lượng lớn
Bác sĩ khuyến cáo tầm quan trọng của khám răng định kỳ 6 tháng,Khám răng 6 tháng/lần: lợi ích và quy trình kiểm tra răng miệng cơ bản
Nhà thuốc địa phương tăng cường truy xuất nguồn gốc thuốc kê đơn,Truy xuất thuốc kê đơn: bước tiến nhằm ngăn chặn thuốc giả
Bác sĩ tim mạch cảnh báo triệu chứng sớm của nhồi máu cơ tim,Nhận biết nhồi máu cơ tim: dấu hiệu sớm và cách phản ứng kịp thời
Hướng dẫn dinh dưỡng cho phụ nữ mang thai trong 3 tháng đầu,Mang thai: thực phẩm nên và không nên ăn trong tam cá nguyệt đầu
Chiến dịch phòng chống sốt xuất huyết: diệt lăng quăng tại hộ gia đình,Sốt xuất huyết tăng cao: người dân cần dọn vệ sinh diệt muỗi triệt để
Bệnh viện ứng dụng tư vấn từ xa qua nền tảng telehealth,Telemedicine phát triển: bệnh nhân được khám từ xa thuận tiện hơn
Chuyên gia hướng dẫn ngủ ngon giúp cải thiện hệ miễn dịch,Giấc ngủ và miễn dịch: mẹo ngủ tốt để tăng sức đề kháng
Phòng khám dinh dưỡng giới thiệu chế độ giảm cân lành mạnh,Giảm cân an toàn: chuyên gia dinh dưỡng khuyến cáo những điều cần tránh
Truyền thông nâng cao nhận thức về phòng ngừa ung thư phổi,Ung thư phổi: chiến dịch truyền thông kêu gọi bỏ thuốc lá
Khoa phục hồi chức năng giới thiệu bài tập sau chấn thương gối,Phục hồi gối: bài tập vật lý trị liệu giúp nhanh hồi phục sau chấn thương
Bác sĩ da liễu lưu ý cách chăm sóc da nhạy cảm mùa hanh khô,"Da khô, nhạy cảm: sản phẩm và thói quen nên tránh trong mùa khô"
Hướng dẫn phòng ngừa hen suyễn khi thời tiết chuyển mùa,Hen suyễn: lưu ý và thuốc dự phòng trong thời điểm giao mùa
Chuyên gia dinh dưỡng khuyên tăng cường chất xơ để cải thiện tiêu hóa,Tiêu hóa khỏe: 7 thực phẩm giàu chất xơ nên thêm vào thực đơn
Bác sĩ phụ sản nhắc nhở về lợi ích cho con khi mẹ nuôi con bằng sữa mẹ,Nuôi con bằng sữa mẹ: lợi ích cho bé và mẹ theo khuyến nghị y tế
Hội thảo cộng đồng: phòng chống nghiện ma tuý và hỗ trợ cai nghiện,Cai nghiện ma tuý: chương trình hỗ trợ cộng đồng giới thiệu nhiều giải pháp
Hướng dẫn tập yoga nhẹ nhàng cho người mới bắt đầu giảm đau lưng,Yoga cho người đau lưng: động tác an toàn và lưu ý khi tập
Chương trình kiểm soát béo phì trẻ em ở trường học được triển khai,Béo phì ở trẻ em: nhà trường đưa vào giáo án vận động và dinh dưỡng
Bác sĩ tai mũi họng khuyến cáo cách phòng viêm họng do lạnh,Viêm họng khi trời lạnh: mẹo phòng tránh và khi nào cần khám bác sĩ
Phòng khám tâm lý mở dịch vụ tư vấn online cho người trưởng thành,"Tư vấn tâm lý online: tiện lợi cho người bận rộn, bảo mật cao"
Chuyên gia dinh dưỡng cảnh báo về xu hướng detox cấp tốc,Detox cấp tốc: tác hại tiềm ẩn và lời khuyên chuyên gia dinh dưỡng
Hướng dẫn bà mẹ trẻ chăm sóc răng miệng cho trẻ sơ sinh,Răng miệng trẻ nhỏ: khi nào cần đưa bé đi khám nha khoa lần đầu
Bệnh viện công bố chương trình chữa bệnh bằng liệu pháp vật lý mới,Vật lý trị liệu tiên tiến được áp dụng cho bệnh nhân sau mổ
Phòng chống ung thư: khuyến khích tầm soát sớm cho nam giới trên 50,Nam giới trên 50 nên khám sức khỏe định kỳ để sàng lọc ung thư
Bác sĩ dinh dưỡng nói về vai trò probiotic trong hệ tiêu hóa,Probiotic: lợi ích và cách sử dụng an toàn cho sức khỏe đường ruột
Trung tâm y tế cộng đồng mở lớp dạy sơ cứu cơ bản cho người dân,Sơ cứu cơ bản: lớp học miễn phí hướng dẫn cách cứu người khi gặp nạn
Bác sĩ ung bướu tư vấn chế độ ăn cho bệnh nhân sau hóa trị,Sau hóa trị: thực phẩm nên ưu tiên để phục hồi sức khỏe nhanh
Hướng dẫn phòng tránh say nắng và xử trí khi bị say nắng,Say nắng vào mùa hè: dấu hiệu nhận biết và cách sơ cứu hiệu quả
