Mỹ: Bầu cử tổng thống 2024 nóng bỏng với tranh cãi,Tranh cãi gay gắt trong bầu cử tổng thống Mỹ 2024
Nga-Ukraine: Xung đột leo thang ở biên giới,Leo thang xung đột biên giới Nga-Ukraine
Trung Quốc: Kinh tế phục hồi sau đại dịch,Phục hồi kinh tế Trung Quốc hậu đại dịch
Châu Âu: Khủng hoảng năng lượng do chiến tranh,Chiến tranh gây khủng hoảng năng lượng ở châu Âu
Israel-Palestine: Bạo lực bùng nổ ở Gaza,Bùng nổ bạo lực tại Gaza giữa Israel-Palestine
Ấn Độ: Dân số vượt Trung Quốc trở thành đông nhất thế giới,Dân số Ấn Độ vượt qua Trung Quốc trên thế giới
Brazil: Rừng Amazon tiếp tục bị phá hủy,Phá hủy rừng Amazon tiếp diễn ở Brazil
Pháp: Biểu tình lớn chống cải cách lương hưu,Biểu tình chống cải cách lương hưu lan rộng ở Pháp
Anh: Brexit hậu quả kinh tế kéo dài,Hậu quả kinh tế từ Brexit vẫn kéo dài ở Anh
Đức: Chuyển đổi năng lượng xanh gặp thách thức,Thách thức chuyển đổi năng lượng xanh tại Đức
Nhật Bản: Lạm phát tăng cao ảnh hưởng dân cư,Tăng lạm phát ở Nhật Bản đe dọa dân cư
Hàn Quốc: Căng thẳng với Triều Tiên gia tăng,Gia tăng căng thẳng giữa Hàn Quốc và Triều Tiên
Australia: Biến đổi khí hậu gây hạn hán nghiêm trọng,Hạn hán nghiêm trọng do biến đổi khí hậu ở Australia
Canada: Di cư tăng cao gây áp lực nhà ở,Áp lực nhà ở từ di cư tăng cao ở Canada
Mexico: Bạo lực ma túy lan rộng,Lan rộng bạo lực ma túy tại Mexico
Nam Phi: Bất ổn chính trị sau bầu cử,"Sau bầu cử, bất ổn chính trị ở Nam Phi"
Thổ Nhĩ Kỳ: Động đất lớn gây thiệt hại nặng,Thiệt hại nặng từ động đất lớn ở Thổ Nhĩ Kỳ
Iran: Biểu tình chống chính phủ kéo dài,Kéo dài biểu tình chống chính phủ tại Iran
Saudi Arabia: Cải cách xã hội cho phụ nữ,Cải cách xã hội dành cho phụ nữ ở Saudi Arabia
Ai Cập: Du lịch phục hồi sau đại dịch,Phục hồi du lịch hậu đại dịch tại Ai Cập
Argentina: Lạm phát cao kỷ lục ảnh hưởng kinh tế,Kinh tế Argentina chịu ảnh hưởng lạm phát cao kỷ lục
Chile: Biểu tình môi trường chống khai thác mỏ,Chống khai thác mỏ: Biểu tình môi trường ở Chile
Colombia: Hòa bình với phiến quân gặp trở ngại,Trở ngại hòa bình với phiến quân tại Colombia
Việt Nam-Thế giới: Hợp tác kinh tế với EU tăng mạnh,Tăng mạnh hợp tác kinh tế Việt Nam-EU
Liên Hợp Quốc: Hội nghị khí hậu COP28 kết thúc,Kết thúc hội nghị khí hậu COP28 tại Liên Hợp Quốc
WHO: Cảnh báo đại dịch mới tiềm ẩn,Tiềm ẩn đại dịch mới: Cảnh báo từ WHO
IMF: Dự báo kinh tế toàn cầu suy giảm,Suy giảm kinh tế toàn cầu theo dự báo IMF
WTO: Thương mại quốc tế gặp thách thức,Thách thức thương mại quốc tế tại WTO
NATO: Mở rộng thành viên gây căng thẳng,Căng thẳng từ mở rộng thành viên NATO
ASEAN: Hợp tác an ninh biển Đông,An ninh biển Đông: Hợp tác trong ASEAN
G7: Thảo luận hỗ trợ Ukraine,Hỗ trợ Ukraine được thảo luận tại G7
G20: Tập trung vào nợ toàn cầu,Nợ toàn cầu là trọng tâm tại G20
EU: Chính sách nhập cư mới gây tranh cãi,Tranh cãi từ chính sách nhập cư mới của EU
Mỹ-Trung: Chiến tranh thương mại tiếp diễn,Tiếp diễn chiến tranh thương mại Mỹ-Trung
Nga-Mỹ: Căng thẳng hạt nhân gia tăng,Gia tăng căng thẳng hạt nhân giữa Nga-Mỹ
Ấn Độ-Trung Quốc: Xung đột biên giới kéo dài,Kéo dài xung đột biên giới Ấn Độ-Trung Quốc
Brazil-Argentina: Hợp tác kinh tế khu vực,Hợp tác kinh tế khu vực giữa Brazil-Argentina
Pháp-Đức: Liên minh châu Âu mạnh mẽ hơn,Liên minh châu Âu mạnh mẽ từ Pháp-Đức
Nhật Bản-Hàn Quốc: Cải thiện quan hệ lịch sử,Cải thiện quan hệ lịch sử Nhật Bản-Hàn Quốc
Australia-Trung Quốc: Căng thẳng thương mại giảm,Giảm căng thẳng thương mại Australia-Trung Quốc
Canada-Mỹ: Hợp tác biên giới an ninh,An ninh biên giới: Hợp tác Canada-Mỹ
Mexico-Mỹ: Vấn đề di cư gây tranh cãi,Tranh cãi di cư giữa Mexico-Mỹ
